"Part";"Value";"Device";"Package";"Description";"HOUSEPART";"LCSCPART#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"POPULATE";"PROD_ID";"SF_ID";"SPICEPREFIX";"URL";"VALUE";
"R92";"680 Ohm";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R93";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"86";"";"";"";"R";"";"";
"R94";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R95";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R96";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R97";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R98";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R99";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R100";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R101";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R102";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R103";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R104";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R105";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R106";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R107";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R108";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R109";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R110";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R111";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R112";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R113";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R114";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R115";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R116";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R117";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R118";"100K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R119";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R120";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R121";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R122";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R123";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R124";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R125";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R126";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R127";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R128";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R129";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R130";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R131";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R132";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R133";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R134";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R135";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R136";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R137";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"R138";"6.8K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"0";"";"";"";"R";"";"";
"RN1";"10K";"4R-N0402ARV341";"4X0402ARV341";"Array Chip Resistor";"";"";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"RN2";"10K";"4R-N0402ARV341";"4X0402ARV341";"Array Chip Resistor";"";"";"";"";"unknown";"unknown";"0";"";"";"";"";"";"";
"S2";"DTSM-3";"DTSM-3";"DTSM-3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"CH340G";"CH340G";"SOIC16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"DC-DC-STEP-DOWN-MP1584";"DC-DC-STEP-DOWN-MP1584";"DC-DC-STEP-DOWN-MP1584";"DC/DC Step-Down Regulator based on MP1584 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT5551";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U2";"W5500";"W5500";"W5500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U4";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U5";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U6";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U7";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U8";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U9";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U10";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U11";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U12";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U13";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U14";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U15";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U16";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U17";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U18";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U19";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U20";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U21";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U22";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U23";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U24";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U25";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U26";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U27";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U28";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U29";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"U30";"NPN BJT S9013";"NPN_BJTMMBT3904_SOT-23-3";"SOT-23-3";"Library:  MF_Discrete_Semiconductor";"YES";"";"";"MF-DSC-SOT233-MMBT3904";"";"";"";"1";"";"";"";"https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904";"MF-DSC-SOT233-MMBT3904";
"X1";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-8-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"TERMINAL-BLOCK-3.5MM-9-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-9-PIN-LONG-PAD";"TERMINAL-BLOCK-9-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD";"TERMINAL-BLOCK-4-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X5";"TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-4-PIN-LONG-PAD";"TERMINAL-BLOCK-4-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X7";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-8-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X8";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-3.5MM-8-PIN-LONG-PAD";"TERMINAL-BLOCK-8-PIN-3.5MM-LONG-PAD";"Terminal Block 3.5mm";"";"";"";"";"";"";"";"";"";"";"";"";"";
